Date,Open,High,Low,Close,Adj Close,Volume,,
25/08/2022,133.649994,134.429993,133.070007,133.979996,130.794815,2706000,,
26/08/2022,134.100006,134.179993,130.339996,130.380005,127.280418,4185300,,
29/08/2022,129.990005,131.419998,129.570007,130.309998,127.212074,2783000,,
30/08/2022,130.559998,130.770004,129.289993,129.580002,126.499428,2407900,,
31/08/2022,129.919998,130,128.399994,128.449997,125.396286,3490400,,
01/09/2022,128.399994,129.820007,127.739998,129.660004,126.577522,3396200,,
02/09/2022,130.300003,130.559998,127.239998,127.790001,124.751984,3040600,,
06/09/2022,127.800003,128.059998,126.300003,126.720001,123.70742,3347100,,
07/09/2022,126.690002,127.870003,126.279999,127.709999,124.673882,2401500,,
08/09/2022,127.199997,128.539993,126.589996,128.470001,125.415817,2964600,,
09/09/2022,128.899994,129.490005,128.059998,129.190002,126.118698,3291900,,
12/09/2022,130.330002,130.990005,129.889999,130.660004,127.553757,3741100,,
13/09/2022,129.139999,129.910004,126.769997,127.25,124.224823,4565600,,
14/09/2022,127.5,129,126.849998,127.690002,124.654366,3819100,,
15/09/2022,127.389999,127.470001,124.900002,125.489998,122.50666,5141700,,
16/09/2022,124.360001,127.529999,123.830002,127.269997,124.244339,9839700,,
19/09/2022,126.489998,128.059998,126.279999,127.730003,124.693413,3981600,,
20/09/2022,126.900002,126.989998,125.519997,126.300003,123.297409,2837500,,
21/09/2022,126.889999,127.839996,124.919998,124.93,121.959976,3389500,,
22/09/2022,124.760002,126.510002,124.410004,125.309998,122.330933,4046600,,
23/09/2022,124.529999,125,121.739998,122.709999,119.792747,5195600,,
26/09/2022,122.300003,124.260002,121.75,122.010002,119.109398,3987800,,
27/09/2022,122.599998,123.949997,121.080002,121.739998,118.84581,4117200,,
28/09/2022,121.650002,123.230003,119.809998,122.760002,119.841568,4996400,,
29/09/2022,121.849998,122.620003,120.57,121.629997,118.738426,3817700,,
30/09/2022,121.660004,122.43,118.610001,118.809998,115.985466,5346100,,
03/10/2022,120.160004,122.209999,119.599998,121.510002,118.621284,4261700,,
04/10/2022,122.800003,125.650002,122.519997,125.5,122.516426,4566100,,
05/10/2022,124.709999,126.459999,124.230003,125.739998,122.75071,3212900,,
06/10/2022,124.879997,125.300003,121.769997,122.230003,119.324165,5074600,,
07/10/2022,121.5,121.800003,118.07,118.82,115.995232,4499700,,
10/10/2022,119.790001,119.959999,117.040001,117.75,114.950668,5990000,,
11/10/2022,117.459999,119.230003,116.940002,117.800003,114.999489,4043100,,
12/10/2022,118,118.809998,117.199997,117.57,114.774948,3338800,,
13/10/2022,116.099998,122.150002,115.550003,121.790001,118.89463,5837500,,
14/10/2022,121.800003,122.540001,119.839996,120.040001,117.186226,3762400,,
17/10/2022,121.800003,122.879997,121.43,121.519997,118.631035,5458600,,
18/10/2022,123,123.940002,121.82,122.940002,120.017288,5120300,,
19/10/2022,122.360001,123.940002,121.989998,122.510002,119.597511,5906600,,
20/10/2022,126.25,128.960007,125.150002,128.300003,125.249863,13623100,,
21/10/2022,128.389999,130.850006,127.589996,129.899994,126.811821,7201300,,
24/10/2022,130.899994,133.110001,129.850006,132.690002,129.535492,5610900,,
25/10/2022,132,133.300003,131.300003,132.929993,129.769775,5957600,,
26/10/2022,133.720001,135.860001,132.809998,135.009995,131.800339,5139000,,
27/10/2022,135.550003,136.399994,134.449997,134.770004,131.566055,3993200,,
28/10/2022,135.559998,138.860001,135.220001,138.509995,135.217133,5965500,,
31/10/2022,138.059998,138.770004,136.600006,138.289993,135.002365,4915300,,
01/11/2022,138.25,138.649994,136.699997,138.199997,134.91449,3590600,,
02/11/2022,137.75,140.169998,136.800003,136.830002,133.577072,5360500,,
03/11/2022,136.419998,136.479996,133.970001,134.470001,131.273178,4442400,,
04/11/2022,135.649994,137.729996,134.940002,136.960007,133.703979,4178000,,
07/11/2022,136.639999,138.699997,136.509995,138.339996,135.051163,4043100,,
08/11/2022,139,140.929993,138.720001,140.039993,136.710754,5042800,,
09/11/2022,137.949997,138.899994,136.940002,137.389999,135.722885,4720000,,
10/11/2022,140.259995,141.369995,138.289993,141.229996,139.516296,5389000,,
11/11/2022,141.5,144.130005,140.960007,143.169998,141.432755,5871300,,
14/11/2022,142.630005,146.080002,142.179993,144.199997,142.450256,5293500,,
15/11/2022,144.080002,146.160004,142,144.339996,142.588562,4727100,,
16/11/2022,144.130005,144.949997,144.009995,144.520004,142.766373,3445200,,
17/11/2022,143.410004,146.179993,143.25,146.089996,144.317322,3954000,,
18/11/2022,146.559998,148.309998,145.940002,147.639999,145.848511,4661700,,
21/11/2022,147.550003,147.929993,146.449997,146.679993,144.900162,3476200,,
22/11/2022,147.600006,149.350006,147.020004,149.100006,147.290802,7062100,,
23/11/2022,149.100006,150.460007,148.300003,148.75,146.945053,3658200,,
25/11/2022,148.270004,149.490005,148.100006,148.369995,146.569656,2075200,,
28/11/2022,147.979996,148.240005,145.940002,146.179993,144.406219,3538100,,
29/11/2022,145.910004,147.169998,145.699997,146.490005,144.712479,2754700,,
30/11/2022,146.190002,149.639999,145.669998,148.899994,147.093216,6377600,,
01/12/2022,149.979996,150.009995,147.339996,149.160004,147.350082,4495900,,
02/12/2022,148.130005,149.160004,147.729996,148.669998,146.866013,2900000,,
05/12/2022,147.940002,148.929993,146.800003,147.410004,145.621307,2784600,,
06/12/2022,147.300003,147.800003,146.699997,147.5,145.71022,2847600,,
07/12/2022,147.330002,148.100006,146.289993,147.270004,145.483017,3971300,,
08/12/2022,147.899994,149.149994,147.369995,147.779999,145.986816,2665700,,
09/12/2022,147.399994,148.339996,146.970001,147.050003,145.265686,3047600,,
12/12/2022,147.820007,149.210007,146.940002,149.210007,147.399475,4032800,,
13/12/2022,150.369995,153.210007,149.949997,150.570007,148.742966,8811500,,
14/12/2022,150.470001,151.910004,148.449997,149.860001,148.04158,4205900,,
15/12/2022,148.520004,148.979996,141.580002,142.360001,140.632584,6687000,,
16/12/2022,141.25,141.919998,138.970001,140.160004,138.45929,9834400,,
19/12/2022,140.160004,140.440002,137.199997,138.869995,137.184921,5282900,,
20/12/2022,138.839996,141.429993,138.339996,141.279999,139.565689,5156500,,
21/12/2022,141.839996,143.089996,140.979996,142.139999,140.415253,3793700,,
22/12/2022,140.949997,141.440002,138.619995,140.880005,139.170547,3337100,,
23/12/2022,140.589996,141.860001,139.600006,141.649994,139.931198,2092500,,
27/12/2022,141.729996,142.720001,141.229996,142.419998,140.691849,2742400,,
28/12/2022,142.399994,142.809998,139.949997,140.020004,138.320984,2539500,,
29/12/2022,140.580002,142.259995,140.449997,141.059998,139.348358,2337200,,
30/12/2022,140.539993,140.899994,139.449997,140.889999,139.18042,2858000,,
03/01/2023,141.100006,141.899994,140.479996,141.550003,139.832413,3338600,,
04/01/2023,142.070007,143.619995,141.369995,142.600006,140.869675,3869200,,
05/01/2023,142.440002,142.5,140.009995,141.110001,139.397751,2866600,,
06/01/2023,142.380005,144.25,141.580002,143.699997,141.956329,3573600,,
09/01/2023,144.080002,145.470001,143.399994,143.550003,141.808151,3987700,,
10/01/2023,143.610001,144.850006,142.899994,144.800003,143.042984,2152100,,
11/01/2023,145,145.529999,143.449997,145.259995,143.497391,3268700,,
